Phi,P, Mass_Flow_Rate_C1-Inlet1_2, Reactant_N2_(mole_fraction), Temperature_(K),H2, H,O,O2,OH,H2O, CO,CO2,NO,NO2,N2
2,50,142,3,1926.721,0.0306000000,0.0000240000,0.0000000033,0.0000000100,0.0000056200,0.0827000000,0.1390000000,0.0875000000,0.0000002370,0.0000000000,0.6600000000
2,50,170,4,1787.667,0.0294000000,0.0000078800,0.0000000003,0.0000000254,0.0000012400,0.0724000000,0.1230000000,0.0805000000,0.0000000134,0.0000000000,0.6950000000
2,100,86,1,2306.991,0.0342000000,0.0001860000,0.0000003650,0.0000005000,0.0000988000,0.1120000000,0.1850000000,0.1080000000,0.0000208000,0.0000000000,0.5600000000
2,100,114,2,2096.259,0.0321000000,0.0000546000,0.0000000233,0.0000000299,0.0000192000,0.0956000000,0.1590000000,0.0963000000,0.0000029800,0.0000000000,0.6170000000
2,100,142,3,1926.774,0.0306000000,0.0000169000,0.0000000000,0.0000000039,0.0000039800,0.0827000000,0.1390000000,0.0875000000,0.0000000834,0.0000000000,0.6600000000
2,100,170,4,1787.7,0.0294000000,0.0000055400,0.0000000000,0.0000000084,0.0000008760,0.0724000000,0.1230000000,0.0805000000,0.0000000000,0.0000000000,0.6950000000
2.3,1,86,1,2164.46,0.0470000000,0.0010500000,0.0000049000,0.0000047500,0.0003140000,0.1070000000,0.2150000000,0.0948000000,0.0000518000,0.0000000000,0.5350000000
2.3,1,114,2,1960.89,0.0438000000,0.0004080000,0.0000005340,0.0000005590,0.0000777000,0.0901000000,0.1830000000,0.0850000000,0.0000124000,0.0000000000,0.5970000000
2.3,1,142,3,1796.67,0.0413000000,0.0002910000,0.0000001930,0.0000003050,0.0000354000,0.0768000000,0.1590000000,0.0777000000,0.0000044200,0.0000000000,0.6450000000
2.3,1,170,4,1663.03,0.0394000000,0.0002480000,0.0000000998,0.0000003230,0.0000195000,0.0662000000,0.1400000000,0.0719000000,0.0000020200,0.0000000000,0.6830000000
